"DTI_CL_MES","Mes","CL_T017ESTACION_SHOA","Estación ambiental SHOA","Value","Flag Codes","Flags"
"2017-M09","2017 Septiembre","T017019","Valparaíso",12.49,,
"2017-M10","2017 Octubre","T017019","Valparaíso",12.43,,
"2017-M11","2017 Noviembre","T017019","Valparaíso",13.34,,
"2017-M12","2017 Diciembre","T017019","Valparaíso",14.94,,
"2015-M01","2015 Enero","T017020","Bucalemu",14.46,,
"2015-M02","2015 Febrero","T017020","Bucalemu",14.08,,
"2015-M03","2015 Marzo","T017020","Bucalemu",14.54,,
"2015-M04","2015 Abril","T017020","Bucalemu",13.27,,
"2015-M05","2015 Mayo","T017020","Bucalemu",12.41,,
"2015-M06","2015 Junio","T017020","Bucalemu",12.23,,
"2015-M07","2015 Julio","T017020","Bucalemu",12.07,,
"2015-M08","2015 Agosto","T017020","Bucalemu",12.82,,
"2015-M09","2015 Septiembre","T017020","Bucalemu",12.62,,
"2015-M10","2015 Octubre","T017020","Bucalemu",13.47,,
"2015-M11","2015 Noviembre","T017020","Bucalemu",13.17,,
"2015-M12","2015 Diciembre","T017020","Bucalemu",13.69,,
"2016-M01","2016 Enero","T017020","Bucalemu",17.3,,
"2016-M02","2016 Febrero","T017020","Bucalemu",16.82,,
"2016-M03","2016 Marzo","T017020","Bucalemu",16.59,,
"2016-M04","2016 Abril","T017020","Bucalemu",14.8,,
"2016-M05","2016 Mayo","T017020","Bucalemu",14.72,,
"2016-M06","2016 Junio","T017020","Bucalemu",13.49,,
"2016-M11","2016 Noviembre","T017020","Bucalemu",16.07,,
"2016-M12","2016 Diciembre","T017020","Bucalemu",15.34,,
"2015-M01","2015 Enero","T017021","San Antonio",16.44,,
"2015-M02","2015 Febrero","T017021","San Antonio",15.62,,
"2015-M03","2015 Marzo","T017021","San Antonio",16.48,,
"2015-M04","2015 Abril","T017021","San Antonio",14.55,,
"2015-M05","2015 Mayo","T017021","San Antonio",12.83,,
"2015-M06","2015 Junio","T017021","San Antonio",12.14,,
"2015-M07","2015 Julio","T017021","San Antonio",11.92,,
"2015-M08","2015 Agosto","T017021","San Antonio",13.16,,
"2015-M09","2015 Septiembre","T017021","San Antonio",13.34,,
"2015-M10","2015 Octubre","T017021","San Antonio",13.87,,
"2015-M11","2015 Noviembre","T017021","San Antonio",13.78,,
"2015-M12","2015 Diciembre","T017021","San Antonio",14.91,,
"2017-M01","2017 Enero","T017021","San Antonio",15.1,,
"2017-M02","2017 Febrero","T017021","San Antonio",15.43,,
"2017-M03","2017 Marzo","T017021","San Antonio",14.96,,
"2017-M04","2017 Abril","T017021","San Antonio",14.15,,
"2017-M05","2017 Mayo","T017021","San Antonio",14.06,,
"2017-M06","2017 Junio","T017021","San Antonio",12.92,,
"2017-M07","2017 Julio","T017021","San Antonio",13.21,,
"2017-M08","2017 Agosto","T017021","San Antonio",12.16,,
"2017-M09","2017 Septiembre","T017021","San Antonio",12.42,,
"2017-M10","2017 Octubre","T017021","San Antonio",12.15,,
"2017-M11","2017 Noviembre","T017021","San Antonio",12.87,,
"2017-M12","2017 Diciembre","T017021","San Antonio",14.47,,
"2015-M01","2015 Enero","T017022","Constitución",12.9,,
"2015-M02","2015 Febrero","T017022","Constitución",11.4,,
"2015-M03","2015 Marzo","T017022","Constitución",11.55,,
"2015-M09","2015 Septiembre","T017022","Constitución",12.51,,
"2015-M10","2015 Octubre","T017022","Constitución",12.88,,
"2015-M11","2015 Noviembre","T017022","Constitución",12.41,,
"2015-M12","2015 Diciembre","T017022","Constitución",12.52,,
"2015-M01","2015 Enero","T017023","Talcahuano",13.93,,
"2015-M02","2015 Febrero","T017023","Talcahuano",13.75,,
"2015-M03","2015 Marzo","T017023","Talcahuano",14.75,,
"2015-M04","2015 Abril","T017023","Talcahuano",14.33,,
"2015-M05","2015 Mayo","T017023","Talcahuano",12.86,,
"2015-M06","2015 Junio","T017023","Talcahuano",12.69,,
"2015-M07","2015 Julio","T017023","Talcahuano",11.55,,
"2015-M08","2015 Agosto","T017023","Talcahuano",12.06,,
"2015-M09","2015 Septiembre","T017023","Talcahuano",12.82,,
"2015-M10","2015 Octubre","T017023","Talcahuano",13.94,,
"2015-M11","2015 Noviembre","T017023","Talcahuano",14.1,,
"2015-M12","2015 Diciembre","T017023","Talcahuano",13.47,,
"2016-M01","2016 Enero","T017023","Talcahuano",16.98,,
"2016-M02","2016 Febrero","T017023","Talcahuano",14.66,,
"2016-M03","2016 Marzo","T017023","Talcahuano",14.71,,
"2016-M04","2016 Abril","T017023","Talcahuano",14.63,,
"2016-M05","2016 Mayo","T017023","Talcahuano",14.48,,
"2016-M06","2016 Junio","T017023","Talcahuano",12.69,,
"2016-M07","2016 Julio","T017023","Talcahuano",11.14,,
"2016-M08","2016 Agosto","T017023","Talcahuano",12.09,,
"2016-M09","2016 Septiembre","T017023","Talcahuano",12.63,,
"2016-M10","2016 Octubre","T017023","Talcahuano",13.26,,
"2016-M11","2016 Noviembre","T017023","Talcahuano",13.59,,
"2016-M12","2016 Diciembre","T017023","Talcahuano",14.97,,
"2017-M01","2017 Enero","T017023","Talcahuano",13.85,,
"2017-M02","2017 Febrero","T017023","Talcahuano",14.2,,
"2017-M03","2017 Marzo","T017023","Talcahuano",14.35,,
"2017-M04","2017 Abril","T017023","Talcahuano",15.16,,
"2017-M05","2017 Mayo","T017023","Talcahuano",13.5,,
"2017-M06","2017 Junio","T017023","Talcahuano",12.04,,
"2017-M07","2017 Julio","T017023","Talcahuano",11.82,,
"2017-M08","2017 Agosto","T017023","Talcahuano",11.73,,
"2017-M09","2017 Septiembre","T017023","Talcahuano",11.94,,
"2017-M10","2017 Octubre","T017023","Talcahuano",12.12,,
"2017-M11","2017 Noviembre","T017023","Talcahuano",12.74,,
"2017-M12","2017 Diciembre","T017023","Talcahuano",13.23,,
"2015-M01","2015 Enero","T017024","Isla Quiriquina",14.66,,
"2015-M02","2015 Febrero","T017024","Isla Quiriquina",14.07,,
"2015-M03","2015 Marzo","T017024","Isla Quiriquina",15.14,,
"2015-M04","2015 Abril","T017024","Isla Quiriquina",14.57,,
"2015-M07","2015 Julio","T017024","Isla Quiriquina",11.55,,
"2015-M08","2015 Agosto","T017024","Isla Quiriquina",12.16,,
"2015-M09","2015 Septiembre","T017024","Isla Quiriquina",12.86,,
"2015-M10","2015 Octubre","T017024","Isla Quiriquina",14.09,,
"2015-M11","2015 Noviembre","T017024","Isla Quiriquina",14.15,,
"2015-M12","2015 Diciembre","T017024","Isla Quiriquina",14.17,,
"2015-M01","2015 Enero","T017025","Coronel",14.72,,
"2015-M02","2015 Febrero","T017025","Coronel",14.21,,
"2015-M03","2015 Marzo","T017025","Coronel",14.96,,
"2015-M04","2015 Abril","T017025","Coronel",14.19,,
"2015-M05","2015 Mayo","T017025","Coronel",13.15,,
"2015-M06","2015 Junio","T017025","Coronel",13.11,,
"2015-M07","2015 Julio","T017025","Coronel",12.25,,
"2015-M08","2015 Agosto","T017025","Coronel",12.44,,
"2015-M09","2015 Septiembre","T017025","Coronel",13.37,,
"2015-M10","2015 Octubre","T017025","Coronel",14.41,,
"2015-M11","2015 Noviembre","T017025","Coronel",14.99,,
"2015-M12","2015 Diciembre","T017025","Coronel",15.62,,
"2016-M01","2016 Enero","T017025","Coronel",13.42,,
"2016-M02","2016 Febrero","T017025","Coronel",13.31,,
"2016-M03","2016 Marzo","T017025","Coronel",12.87,,
"2016-M04","2016 Abril","T017025","Coronel",11.61,,
"2016-M05","2016 Mayo","T017025","Coronel",11.07,,
"2016-M06","2016 Junio","T017025","Coronel",10.39,,
"2016-M07","2016 Julio","T017025","Coronel",10.03,,
"2016-M08","2016 Agosto","T017025","Coronel",10.01,,
"2016-M09","2016 Septiembre","T017025","Coronel",10.43,,
"2016-M10","2016 Octubre","T017025","Coronel",11,,
"2016-M11","2016 Noviembre","T017025","Coronel",11.79,,
"2016-M12","2016 Diciembre","T017025","Coronel",12.43,,
"2015-M01","2015 Enero","T017026","Lebu",11.14,,
"2015-M02","2015 Febrero","T017026","Lebu",11.62,,
"2015-M03","2015 Marzo","T017026","Lebu",12.76,,
"2015-M04","2015 Abril","T017026","Lebu",12.23,,
"2015-M05","2015 Mayo","T017026","Lebu",12.39,,
"2015-M06","2015 Junio","T017026","Lebu",12.54,,
"2015-M07","2015 Julio","T017026","Lebu",11.39,,
"2015-M08","2015 Agosto","T017026","Lebu",11.23,,
"2015-M09","2015 Septiembre","T017026","Lebu",11.26,,
"2015-M10","2015 Octubre","T017026","Lebu",12.28,,
"2015-M11","2015 Noviembre","T017026","Lebu",12.13,,
"2015-M12","2015 Diciembre","T017026","Lebu",11.77,,
"2015-M01","2015 Enero","T017027","Queule",15.35,,
"2015-M02","2015 Febrero","T017027","Queule",14.3,,
"2015-M03","2015 Marzo","T017027","Queule",14.83,,
"2015-M04","2015 Abril","T017027","Queule",14.81,,
"2015-M05","2015 Mayo","T017027","Queule",13,,
"2015-M06","2015 Junio","T017027","Queule",10.65,,
"2015-M07","2015 Julio","T017027","Queule",9.78,,
"2015-M08","2015 Agosto","T017027","Queule",10.47,,
"2015-M09","2015 Septiembre","T017027","Queule",11.45,,
"2015-M10","2015 Octubre","T017027","Queule",13.95,,
"2015-M11","2015 Noviembre","T017027","Queule",15.56,,
"2015-M12","2015 Diciembre","T017027","Queule",16.07,,
"2015-M01","2015 Enero","T017028","Corral",13.16,,
"2015-M02","2015 Febrero","T017028","Corral",12.53,,
"2015-M03","2015 Marzo","T017028","Corral",12.88,,
"2015-M04","2015 Abril","T017028","Corral",13.98,,
"2015-M05","2015 Mayo","T017028","Corral",13.06,,
"2015-M06","2015 Junio","T017028","Corral",12.23,,
"2015-M07","2015 Julio","T017028","Corral",10.9,,
"2015-M08","2015 Agosto","T017028","Corral",10.93,,
"2015-M09","2015 Septiembre","T017028","Corral",11.58,,
"2015-M10","2015 Octubre","T017028","Corral",12.74,,
"2015-M11","2015 Noviembre","T017028","Corral",13.69,,
"2015-M12","2015 Diciembre","T017028","Corral",13.58,,
"2016-M01","2016 Enero","T017028","Corral",14.18,,
"2016-M02","2016 Febrero","T017028","Corral",13.82,,
"2016-M03","2016 Marzo","T017028","Corral",12.39,,
"2016-M04","2016 Abril","T017028","Corral",12.62,,
"2016-M05","2016 Mayo","T017028","Corral",12.71,,
"2016-M06","2016 Junio","T017028","Corral",11.64,,
"2016-M07","2016 Julio","T017028","Corral",10.58,,
"2016-M08","2016 Agosto","T017028","Corral",10.99,,
"2016-M09","2016 Septiembre","T017028","Corral",11.56,,
"2016-M10","2016 Octubre","T017028","Corral",12.79,,
"2016-M11","2016 Noviembre","T017028","Corral",13.03,,
"2016-M12","2016 Diciembre","T017028","Corral",14.24,,
"2017-M01","2017 Enero","T017028","Corral",14.48,,
"2017-M02","2017 Febrero","T017028","Corral",13.85,,
"2017-M03","2017 Marzo","T017028","Corral",13.8,,
"2017-M04","2017 Abril","T017028","Corral",13.98,,
"2017-M05","2017 Mayo","T017028","Corral",13.75,,
"2017-M06","2017 Junio","T017028","Corral",11.66,,
"2017-M07","2017 Julio","T017028","Corral",10.91,,
"2017-M08","2017 Agosto","T017028","Corral",10.43,,
"2017-M09","2017 Septiembre","T017028","Corral",11.07,,
"2017-M10","2017 Octubre","T017028","Corral",12.09,,
"2017-M11","2017 Noviembre","T017028","Corral",12.78,,
"2017-M12","2017 Diciembre","T017028","Corral",12.92,,
"2015-M01","2015 Enero","T017029","Bahía Mansa",12.16,,
"2015-M02","2015 Febrero","T017029","Bahía Mansa",11.29,,
"2015-M03","2015 Marzo","T017029","Bahía Mansa",12.61,,
"2015-M04","2015 Abril","T017029","Bahía Mansa",13.98,,
"2015-M05","2015 Mayo","T017029","Bahía Mansa",13.05,,
"2015-M06","2015 Junio","T017029","Bahía Mansa",12.52,,
"2015-M07","2015 Julio","T017029","Bahía Mansa",11.21,,
"2015-M08","2015 Agosto","T017029","Bahía Mansa",11.35,,
"2015-M09","2015 Septiembre","T017029","Bahía Mansa",11.3,,
"2015-M10","2015 Octubre","T017029","Bahía Mansa",12.06,,
"2015-M11","2015 Noviembre","T017029","Bahía Mansa",12.43,,
"2015-M12","2015 Diciembre","T017029","Bahía Mansa",12.5,,
"2015-M01","2015 Enero","T017030","Puerto Montt",16.42,,
"2015-M02","2015 Febrero","T017030","Puerto Montt",17.1,,
"2015-M03","2015 Marzo","T017030","Puerto Montt",14.93,,
"2015-M04","2015 Abril","T017030","Puerto Montt",12.78,,
"2015-M05","2015 Mayo","T017030","Puerto Montt",11.81,,
"2015-M06","2015 Junio","T017030","Puerto Montt",11.24,,
"2015-M07","2015 Julio","T017030","Puerto Montt",11.28,,
"2015-M08","2015 Agosto","T017030","Puerto Montt",11.13,,
"2015-M09","2015 Septiembre","T017030","Puerto Montt",11.1,,
"2015-M10","2015 Octubre","T017030","Puerto Montt",12.33,,
"2015-M11","2015 Noviembre","T017030","Puerto Montt",13.33,,
"2015-M12","2015 Diciembre","T017030","Puerto Montt",15.44,,
"2017-M01","2017 Enero","T017030","Puerto Montt",15.64,,
"2017-M02","2017 Febrero","T017030","Puerto Montt",16.75,,
"2017-M03","2017 Marzo","T017030","Puerto Montt",15.02,,
"2017-M04","2017 Abril","T017030","Puerto Montt",13.8,,
"2017-M05","2017 Mayo","T017030","Puerto Montt",12.53,,
"2017-M06","2017 Junio","T017030","Puerto Montt",11.78,,
"2017-M07","2017 Julio","T017030","Puerto Montt",11.52,,
"2017-M08","2017 Agosto","T017030","Puerto Montt",11.51,,
"2017-M09","2017 Septiembre","T017030","Puerto Montt",11.37,,
"2017-M10","2017 Octubre","T017030","Puerto Montt",11.6,,
"2017-M11","2017 Noviembre","T017030","Puerto Montt",13.06,,
"2017-M12","2017 Diciembre","T017030","Puerto Montt",14.78,,
"2015-M01","2015 Enero","T017031","Ancud",14.76,,
"2015-M02","2015 Febrero","T017031","Ancud",14.18,,
"2015-M03","2015 Marzo","T017031","Ancud",13.89,,
"2015-M04","2015 Abril","T017031","Ancud",13.41,,
"2015-M05","2015 Mayo","T017031","Ancud",12.59,,
"2015-M06","2015 Junio","T017031","Ancud",11.44,,
"2015-M07","2015 Julio","T017031","Ancud",10.69,,
"2015-M08","2015 Agosto","T017031","Ancud",10.92,,
"2015-M09","2015 Septiembre","T017031","Ancud",11.23,,
"2015-M10","2015 Octubre","T017031","Ancud",12.27,,
"2015-M11","2015 Noviembre","T017031","Ancud",13.21,,
"2015-M12","2015 Diciembre","T017031","Ancud",14.27,,
"2016-M01","2016 Enero","T017031","Ancud",15.41,,
"2016-M02","2016 Febrero","T017031","Ancud",15.09,,
"2016-M03","2016 Marzo","T017031","Ancud",14.12,,
"2016-M04","2016 Abril","T017031","Ancud",12.74,,
"2016-M05","2016 Mayo","T017031","Ancud",12.1,,
"2016-M06","2016 Junio","T017031","Ancud",11.02,,
"2016-M07","2016 Julio","T017031","Ancud",10.43,,
"2016-M08","2016 Agosto","T017031","Ancud",10.96,,
"2016-M09","2016 Septiembre","T017031","Ancud",11.48,,
"2016-M10","2016 Octubre","T017031","Ancud",12.84,,
"2016-M11","2016 Noviembre","T017031","Ancud",13.73,,
"2016-M12","2016 Diciembre","T017031","Ancud",15.05,,
"2017-M01","2017 Enero","T017031","Ancud",15.65,,
"2017-M02","2017 Febrero","T017031","Ancud",15.35,,
"2017-M03","2017 Marzo","T017031","Ancud",14.18,,
"2017-M04","2017 Abril","T017031","Ancud",13.57,,
"2017-M05","2017 Mayo","T017031","Ancud",12.85,,
"2017-M06","2017 Junio","T017031","Ancud",11.13,,
"2017-M07","2017 Julio","T017031","Ancud",10.64,,
"2017-M08","2017 Agosto","T017031","Ancud",10.4,,
"2017-M09","2017 Septiembre","T017031","Ancud",10.8,,
"2017-M10","2017 Octubre","T017031","Ancud",11.87,,
"2017-M11","2017 Noviembre","T017031","Ancud",13.08,,
"2017-M12","2017 Diciembre","T017031","Ancud",13.94,,
"2015-M01","2015 Enero","T017032","Castro",14.8,,
"2015-M02","2015 Febrero","T017032","Castro",15.24,,
"2015-M03","2015 Marzo","T017032","Castro",13.37,,
"2015-M04","2015 Abril","T017032","Castro",12.51,,
"2015-M05","2015 Mayo","T017032","Castro",11.68,,
"2015-M06","2015 Junio","T017032","Castro",10.94,,
"2015-M07","2015 Julio","T017032","Castro",10.43,,
"2015-M08","2015 Agosto","T017032","Castro",10.33,,
"2015-M09","2015 Septiembre","T017032","Castro",10.46,,
"2015-M10","2015 Octubre","T017032","Castro",11.43,,
"2015-M11","2015 Noviembre","T017032","Castro",12.44,,
"2015-M12","2015 Diciembre","T017032","Castro",14.02,,
"2015-M01","2015 Enero","T017033","Melinka",12.66,,
"2015-M02","2015 Febrero","T017033","Melinka",12.87,,
"2015-M03","2015 Marzo","T017033","Melinka",12.36,,
"2015-M04","2015 Abril","T017033","Melinka",11.7,,
"2015-M05","2015 Mayo","T017033","Melinka",11.16,,
"2015-M06","2015 Junio","T017033","Melinka",10.77,,
"2015-M07","2015 Julio","T017033","Melinka",10.17,,
"2015-M08","2015 Agosto","T017033","Melinka",10.05,,
"2015-M09","2015 Septiembre","T017033","Melinka",10.14,,
"2015-M10","2015 Octubre","T017033","Melinka",10.78,,
"2015-M11","2015 Noviembre","T017033","Melinka",11.51,,
"2015-M12","2015 Diciembre","T017033","Melinka",12.17,,
"2015-M01","2015 Enero","T017034","Puerto Chacabuco",14.93,,
"2015-M02","2015 Febrero","T017034","Puerto Chacabuco",15.85,,
"2015-M03","2015 Marzo","T017034","Puerto Chacabuco",13.43,,
"2015-M04","2015 Abril","T017034","Puerto Chacabuco",11.35,,
"2015-M05","2015 Mayo","T017034","Puerto Chacabuco",9.84,,
"2015-M06","2015 Junio","T017034","Puerto Chacabuco",7.83,,
"2015-M07","2015 Julio","T017034","Puerto Chacabuco",7.53,,
"2015-M08","2015 Agosto","T017034","Puerto Chacabuco",8.25,,
"2015-M09","2015 Septiembre","T017034","Puerto Chacabuco",8.56,,
"2015-M10","2015 Octubre","T017034","Puerto Chacabuco",10.96,,
"2015-M11","2015 Noviembre","T017034","Puerto Chacabuco",12.53,,
"2015-M12","2015 Diciembre","T017034","Puerto Chacabuco",13.53,,
"2016-M01","2016 Enero","T017034","Puerto Chacabuco",16.8,,
"2016-M02","2016 Febrero","T017034","Puerto Chacabuco",14.75,,
"2016-M03","2016 Marzo","T017034","Puerto Chacabuco",14.48,,
"2016-M04","2016 Abril","T017034","Puerto Chacabuco",11.74,,
"2016-M05","2016 Mayo","T017034","Puerto Chacabuco",10.46,,
"2016-M06","2016 Junio","T017034","Puerto Chacabuco",9.52,,
"2016-M07","2016 Julio","T017034","Puerto Chacabuco",9.77,,
"2016-M08","2016 Agosto","T017034","Puerto Chacabuco",8.72,,
"2016-M09","2016 Septiembre","T017034","Puerto Chacabuco",9.69,,
"2016-M10","2016 Octubre","T017034","Puerto Chacabuco",11.67,,
"2016-M11","2016 Noviembre","T017034","Puerto Chacabuco",12.47,,
"2016-M12","2016 Diciembre","T017034","Puerto Chacabuco",14.49,,
"2017-M01","2017 Enero","T017034","Puerto Chacabuco",13.33,,
"2017-M02","2017 Febrero","T017034","Puerto Chacabuco",15.34,,
"2017-M03","2017 Marzo","T017034","Puerto Chacabuco",13.5,,
"2017-M04","2017 Abril","T017034","Puerto Chacabuco",11.76,,
"2017-M05","2017 Mayo","T017034","Puerto Chacabuco",9.9,,
"2017-M06","2017 Junio","T017034","Puerto Chacabuco",8.93,,
"2017-M07","2017 Julio","T017034","Puerto Chacabuco",6.57,,
"2017-M08","2017 Agosto","T017034","Puerto Chacabuco",7.33,,
"2017-M09","2017 Septiembre","T017034","Puerto Chacabuco",8.18,,
"2017-M10","2017 Octubre","T017034","Puerto Chacabuco",9.19,,
"2017-M11","2017 Noviembre","T017034","Puerto Chacabuco",11.57,,
"2017-M12","2017 Diciembre","T017034","Puerto Chacabuco",13.56,,
"2015-M01","2015 Enero","T017035","Puerto Edén",11.87,,
"2015-M02","2015 Febrero","T017035","Puerto Edén",11.37,,
"2015-M03","2015 Marzo","T017035","Puerto Edén",10.42,,
"2015-M04","2015 Abril","T017035","Puerto Edén",9.84,,
"2015-M05","2015 Mayo","T017035","Puerto Edén",8.89,,
"2015-M06","2015 Junio","T017035","Puerto Edén",8.35,,
"2015-M07","2015 Julio","T017035","Puerto Edén",7.65,,
"2015-M08","2015 Agosto","T017035","Puerto Edén",7.94,,
"2015-M09","2015 Septiembre","T017035","Puerto Edén",8.24,,
"2015-M10","2015 Octubre","T017035","Puerto Edén",9.59,,
"2015-M11","2015 Noviembre","T017035","Puerto Edén",10.56,,
"2015-M12","2015 Diciembre","T017035","Puerto Edén",11,,
"2015-M01","2015 Enero","T017036","Punta Arenas",9.63,,
"2015-M02","2015 Febrero","T017036","Punta Arenas",9.66,,
"2015-M03","2015 Marzo","T017036","Punta Arenas",9.21,,
"2015-M04","2015 Abril","T017036","Punta Arenas",8.52,,
"2015-M05","2015 Mayo","T017036","Punta Arenas",7.62,,
"2015-M06","2015 Junio","T017036","Punta Arenas",7.04,,
"2015-M07","2015 Julio","T017036","Punta Arenas",6.34,,
"2015-M08","2015 Agosto","T017036","Punta Arenas",6.14,,
"2015-M09","2015 Septiembre","T017036","Punta Arenas",6.36,,
"2015-M10","2015 Octubre","T017036","Punta Arenas",6.96,,
"2015-M11","2015 Noviembre","T017036","Punta Arenas",7.47,,
"2015-M12","2015 Diciembre","T017036","Punta Arenas",8.51,,
"2016-M01","2016 Enero","T017036","Punta Arenas",9.55,,
"2016-M02","2016 Febrero","T017036","Punta Arenas",9.75,,
"2016-M03","2016 Marzo","T017036","Punta Arenas",10.05,,
"2016-M04","2016 Abril","T017036","Punta Arenas",8.88,,
"2016-M05","2016 Mayo","T017036","Punta Arenas",7.99,,
"2016-M06","2016 Junio","T017036","Punta Arenas",7.46,,
"2016-M07","2016 Julio","T017036","Punta Arenas",7.55,,
"2016-M08","2016 Agosto","T017036","Punta Arenas",7.78,,
"2016-M09","2016 Septiembre","T017036","Punta Arenas",8.02,,
"2016-M10","2016 Octubre","T017036","Punta Arenas",8.16,,
"2016-M11","2016 Noviembre","T017036","Punta Arenas",8.7,,
"2016-M12","2016 Diciembre","T017036","Punta Arenas",9.87,,
"2017-M01","2017 Enero","T017036","Punta Arenas",10.44,,
"2017-M02","2017 Febrero","T017036","Punta Arenas",10.97,,
"2017-M03","2017 Marzo","T017036","Punta Arenas",10.81,,
"2017-M04","2017 Abril","T017036","Punta Arenas",10.1,,
"2017-M05","2017 Mayo","T017036","Punta Arenas",8.97,,
"2017-M06","2017 Junio","T017036","Punta Arenas",7.89,,
"2015-M01","2015 Enero","T017037","Caleta Meteoro",9.51,,
"2015-M02","2015 Febrero","T017037","Caleta Meteoro",9.59,,
"2015-M03","2015 Marzo","T017037","Caleta Meteoro",9.65,,
"2015-M04","2015 Abril","T017037","Caleta Meteoro",8.49,,
"2015-M05","2015 Mayo","T017037","Caleta Meteoro",7.63,,
"2015-M06","2015 Junio","T017037","Caleta Meteoro",6.81,,
"2015-M07","2015 Julio","T017037","Caleta Meteoro",5.82,,
"2015-M08","2015 Agosto","T017037","Caleta Meteoro",5.34,,
"2015-M09","2015 Septiembre","T017037","Caleta Meteoro",6.2,,
"2015-M10","2015 Octubre","T017037","Caleta Meteoro",7.03,,
"2015-M11","2015 Noviembre","T017037","Caleta Meteoro",7.94,,
"2015-M12","2015 Diciembre","T017037","Caleta Meteoro",8.99,,
"2015-M01","2015 Enero","T017038","Bahía Gregorio",10.4,,
"2015-M02","2015 Febrero","T017038","Bahía Gregorio",10.72,,
"2015-M03","2015 Marzo","T017038","Bahía Gregorio",9.6,,
"2015-M04","2015 Abril","T017038","Bahía Gregorio",8.12,,
"2015-M05","2015 Mayo","T017038","Bahía Gregorio",6.63,,
"2015-M06","2015 Junio","T017038","Bahía Gregorio",4.89,,
"2015-M07","2015 Julio","T017038","Bahía Gregorio",4.16,,
"2015-M08","2015 Agosto","T017038","Bahía Gregorio",4.09,,
"2015-M09","2015 Septiembre","T017038","Bahía Gregorio",4.81,,
"2015-M10","2015 Octubre","T017038","Bahía Gregorio",6.02,,
"2015-M11","2015 Noviembre","T017038","Bahía Gregorio",7.67,,
"2015-M12","2015 Diciembre","T017038","Bahía Gregorio",8.92,,
"2015-M01","2015 Enero","T017039","Puerto Williams",8.83,,
"2015-M02","2015 Febrero","T017039","Puerto Williams",9.29,,
"2015-M03","2015 Marzo","T017039","Puerto Williams",8.52,,
"2015-M04","2015 Abril","T017039","Puerto Williams",7.47,,
"2015-M05","2015 Mayo","T017039","Puerto Williams",6.38,,
"2015-M06","2015 Junio","T017039","Puerto Williams",5.4,,
"2015-M07","2015 Julio","T017039","Puerto Williams",4.83,,
"2015-M08","2015 Agosto","T017039","Puerto Williams",4.83,,
"2015-M09","2015 Septiembre","T017039","Puerto Williams",4.64,,
"2015-M10","2015 Octubre","T017039","Puerto Williams",5.59,,
"2015-M11","2015 Noviembre","T017039","Puerto Williams",6.87,,
"2015-M12","2015 Diciembre","T017039","Puerto Williams",8.22,,
"2017-M01","2017 Enero","T017039","Puerto Williams",9.39,,
"2017-M02","2017 Febrero","T017039","Puerto Williams",10.01,,
"2017-M03","2017 Marzo","T017039","Puerto Williams",9.15,,
"2017-M04","2017 Abril","T017039","Puerto Williams",8.57,,
"2017-M05","2017 Mayo","T017039","Puerto Williams",7.24,,
"2017-M06","2017 Junio","T017039","Puerto Williams",6.04,,
"2017-M07","2017 Julio","T017039","Puerto Williams",5.64,,
"2017-M08","2017 Agosto","T017039","Puerto Williams",5.42,,
"2017-M09","2017 Septiembre","T017039","Puerto Williams",5.54,,
"2017-M10","2017 Octubre","T017039","Puerto Williams",6.4,,
"2017-M11","2017 Noviembre","T017039","Puerto Williams",7.68,,
"2017-M12","2017 Diciembre","T017039","Puerto Williams",8.56,,
"2017-M02","2017 Febrero","T017011","Isla de Pascua",22.32,,
"2017-M03","2017 Marzo","T017011","Isla de Pascua",20.98,,
"2017-M04","2017 Abril","T017011","Isla de Pascua",20.77,,
"2017-M05","2017 Mayo","T017011","Isla de Pascua",20.9,,
"2017-M01","2017 Enero","T017018","Quintero",16.01,,
"2017-M02","2017 Febrero","T017018","Quintero",16.13,,
"2017-M03","2017 Marzo","T017018","Quintero",15.63,,
"2017-M04","2017 Abril","T017018","Quintero",14.06,,
"2017-M05","2017 Mayo","T017018","Quintero",14.28,,
"2017-M06","2017 Junio","T017018","Quintero",13.4,,
"2017-M07","2017 Julio","T017018","Quintero",13.36,,
"2017-M08","2017 Agosto","T017018","Quintero",12.55,,
"2017-M09","2017 Septiembre","T017018","Quintero",12.49,,
"2017-M10","2017 Octubre","T017018","Quintero",12.43,,
"2017-M11","2017 Noviembre","T017018","Quintero",13.34,,
"2017-M12","2017 Diciembre","T017018","Quintero",14.94,,
"2018-M01","2018 Enero","T017018","Quintero",15.29,,
"2018-M02","2018 Febrero","T017018","Quintero",15.58,,
"2018-M03","2018 Marzo","T017018","Quintero",13.88,,
"2018-M04","2018 Abril","T017018","Quintero",13.62,,
"2018-M05","2018 Mayo","T017018","Quintero",13.24,,
"2018-M06","2018 Junio","T017018","Quintero",12.12,,
"2018-M07","2018 Julio","T017018","Quintero",12.24,,
"2018-M08","2018 Agosto","T017018","Quintero",12.11,,
"2018-M09","2018 Septiembre","T017018","Quintero",12.56,,
"2018-M10","2018 Octubre","T017018","Quintero",12.79,,
"2018-M11","2018 Noviembre","T017018","Quintero",14.31,,
"2018-M12","2018 Diciembre","T017018","Quintero",14.51,,
"2016-M07","2016 Julio","T017020","Bucalemu",16.07,,
"2016-M08","2016 Agosto","T017020","Bucalemu",15.34,,
"2015-M04","2015 Abril","T017022","Constitución",12.51,,
"2015-M05","2015 Mayo","T017022","Constitución",12.88,,
